Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
ORV,C,Yao Ming,0,22,hou,55,610,0.09,0,0,0,82,29,13.5,8.2,1.7,0.4,1.8,0.498,0.5,0.811,8.7,0.176,2003
ORV,F,Karl Malone,0,39,uta,33,610,0.054,0,0,0,81,36.2,20.6,7.8,4.7,1.7,0.4,0.462,0.214,0.763,11.1,0.182,2003
ORV,F,Shawn Marion,0,24,pho,28,610,0.046,0,0,0,81,41.6,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,13,0.186,2003
ORV,C,Zydrunas Ilgauskas,0,27,cle,25,610,0.041,0,0,0,81,30,17.2,7.5,1.6,0.7,1.9,0.441,0,0.781,5,0.099,2003
ORV,C,Vlade Divac,0,34,sac,23,610,0.038,0,0,0,80,29.8,9.9,7.2,3.4,1,1.3,0.466,0.24,0.713,7,0.141,2003
ORV,G,Steve Francis,0,25,hou,18,610,0.03,0,0,0,81,41,21,6.2,6.2,1.7,0.5,0.435,0.354,0.8,11.1,0.16,2003
ORV,G,Ray Allen,0,27,tot,15,610,0.025,0,0,0,76,37.9,22.5,5,4.4,1.4,0.2,0.439,0.377,0.916,9.1,0.152,2003
ORV,G,Gary Payton,0,34,tot,14,610,0.023,0,0,0,80,40.1,20.4,4.2,8.3,1.7,0.3,0.454,0.297,0.71,9.1,0.136,2003
ORV,F,Rasheed Wallace,0,28,por,14,610,0.023,0,0,0,74,36.3,18.1,7.4,2.1,0.9,1,0.471,0.358,0.735,8.5,0.151,2003
ORV,G,Allan Houston,0,31,nyk,10,610,0.016,0,0,0,82,37.9,22.5,2.8,2.7,0.7,0.1,0.445,0.396,0.919,7.2,0.111,2003
ORV,C,Pau Gasol,0,22,mem,8,610,0.013,0,0,0,82,36,19,8.8,2.8,0.4,1.8,0.51,0.1,0.736,8.5,0.138,2003
ORV,F,Brad Miller,0,26,ind,8,610,0.013,0,0,0,73,31.1,13.1,8.3,2.6,0.9,0.6,0.493,0.313,0.818,9.6,0.202,2003
ORV,C,David Robinson,0,37,sas,8,610,0.013,0,0,0,64,26.2,8.5,7.9,1,0.8,1.7,0.469,0,0.71,6,0.172,2003
ORV,F,Peja Stojakovic,0,25,sac,8,610,0.013,0,0,0,72,34,19.2,5.5,2,1,0.1,0.481,0.382,0.875,10.1,0.199,2003
ORV,G,Michael Jordan,0,39,was,7,610,0.011,0,0,0,82,37,20,6.1,3.8,1.5,0.5,0.445,0.291,0.821,6.2,0.099,2003
ORV,F,Elton Brand,0,23,lac,2,610,0.003,0,0,2,62,39.6,18.5,11.3,2.5,1.1,2.5,0.502,0,0.685,7.6,0.149,2003
ORV,F,Brian Grant,0,30,mia,2,610,0.003,0,0,2,82,32.2,10.3,10.2,1.3,0.8,0.6,0.509,0,0.771,7.7,0.139,2003
ORV,F,Antawn Jamison,0,26,gsw,2,610,0.003,0,0,2,82,39.3,22.2,7,1.9,0.9,0.5,0.47,0.311,0.789,8.5,0.126,2003
ORV,C,Theo Ratliff,0,29,atl,2,610,0.003,0,0,2,81,31.1,8.7,7.5,0.9,0.7,3.2,0.464,0,0.72,4,0.077,2003
ORV,F,Amar'e Stoudemire,0,20,pho,2,610,0.003,0,0,2,82,31.3,13.5,8.8,1,0.8,1.1,0.472,0.2,0.661,6.2,0.116,2003
ORV,F,Antoine Walker,0,26,bos,2,610,0.003,0,0,2,78,41.5,20.1,7.2,4.8,1.5,0.4,0.388,0.323,0.615,2.6,0.039,2003
